,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.13309352517985612,0.0634648370497427,0.0859465737514518,583.0
2,0.2754994742376446,0.256297383223282,0.2655517547193716,4089.0
3,0.5758248535306815,0.8387531440891125,0.6828536951036677,11132.0
4,0.26683149486496766,0.6943253051798086,0.3855101666971973,6062.0
5,0.9979832115992587,0.9702188543267447,0.9839052046107961,18871.0
6,0.9799426934097422,0.6377837837837838,0.7726789017861528,37000.0
7,0.7754356379988758,0.789187643020595,0.7822512049900765,3496.0
8,0.2,0.0026455026455026454,0.005221932114882507,378.0
9,0.48,0.2727272727272727,0.34782608695652173,44.0
accuracy,0.720376038478356,0.720376038478356,0.720376038478356,0.720376038478356
macro avg,0.4684610890821027,0.45254037260458446,0.4311745520730118,82332.0
weighted avg,0.8153596353715046,0.720376038478356,0.7406945158026752,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,41.26,41.26,41.26,41.26
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,100.0,100.0,100.0,100.0
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.720376038478356,0.720376038478356,0.720376038478356,0.720376038478356
precision,0.8153596353715046,0.8153596353715046,0.8153596353715046,0.8153596353715046
f1_score,0.7406945158026752,0.7406945158026752,0.7406945158026752,0.7406945158026752
