,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.4027777777777778,0.04974271012006861,0.08854961832061069,583.0
2,0.37753378378378377,0.10931768158473955,0.1695429546747582,4089.0
3,0.5746950321173905,0.8760330578512396,0.6940678267677307,11132.0
4,0.29313819998247304,0.5517980864401187,0.3828764379328106,6062.0
5,0.9965740388275599,0.9711197074876795,0.9836822329575953,18871.0
6,0.9387029709610355,0.7565945945945945,0.8378677681003263,37000.0
7,0.7727771679473107,0.8054919908466819,0.7887955182072829,3496.0
8,0.3671875,0.373015873015873,0.3700787401574803,378.0
9,0.45161290322580644,0.3181818181818182,0.37333333333333335,44.0
accuracy,0.7635427294369139,0.7635427294369139,0.7635427294369139,0.7635427294369139
macro avg,0.5174999374623137,0.48112955201228136,0.4688794430451928,82332.0
weighted avg,0.8059043796618545,0.7635427294369139,0.768478428599169,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,41.52,41.52,41.52,41.52
feature_selection_method,chi2,chi2,chi2,chi2
k,10,10,10,10
feature_selection_time,0.06,0.06,0.06,0.06
recall,0.7635427294369139,0.7635427294369139,0.7635427294369139,0.7635427294369139
precision,0.8059043796618545,0.8059043796618545,0.8059043796618545,0.8059043796618545
f1_score,0.768478428599169,0.768478428599169,0.768478428599169,0.768478428599169
