,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.9,0.030874785591766724,0.05970149253731343,583.0
2,0.45219347581552305,0.0983125458547322,0.16151064684612293,4089.0
3,0.5313721456490434,0.9281351060007187,0.6758241758241759,11132.0
4,0.268776628119294,0.7284724513361927,0.39267295038235817,6062.0
5,0.9986352221858281,0.9693709925282179,0.9837855279787033,18871.0
6,0.9789147553681311,0.6148378378378379,0.7552914225003735,37000.0
7,0.9313002680965148,0.794908466819222,0.8577160493827161,3496.0
8,0.46875,0.2777777777777778,0.3488372093023256,378.0
9,0.6086956521739131,0.3181818181818182,0.417910447761194,44.0
accuracy,0.7179225574503231,0.7179225574503231,0.7179225574503231,0.7179225574503231
macro avg,0.6138638147408246,0.4760871781928285,0.46532499225152824,82332.0
weighted avg,0.831306962542932,0.7179225574503231,0.7318965204301525,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,32.23,32.23,32.23,32.23
feature_selection_method,rfe,rfe,rfe,rfe
k,20,20,20,20
feature_selection_time,47.73,47.73,47.73,47.73
recall,0.7179225574503231,0.7179225574503231,0.7179225574503231,0.7179225574503231
precision,0.831306962542932,0.831306962542932,0.831306962542932,0.831306962542932
f1_score,0.7318965204301525,0.7318965204301525,0.7318965204301525,0.7318965204301525
