,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.5909090909090909,0.022298456260720412,0.04297520661157025,583.0
2,0.425,0.024944974321349962,0.04712404712404712,4089.0
3,0.5247807135554001,0.8760330578512396,0.6563688372875652,11132.0
4,0.2813337302768681,0.4676674364896074,0.3513228824586406,6062.0
5,0.9884556741450664,0.9618992104287001,0.9749966429434672,18871.0
6,0.9320617375480218,0.7475135135135135,0.8296487386387498,37000.0
7,0.5284552845528455,0.7437070938215103,0.6178707224334601,3496.0
8,0.2474747474747475,0.12962962962962962,0.1701388888888889,378.0
9,0.0,0.0,0.0,44.0
accuracy,0.7428581839382015,0.7428581839382015,0.7428581839382015,0.7428581839382015
macro avg,0.451847097846204,0.3973693372316271,0.369044596638639,82332.0
weighted avg,0.7859651826950353,0.7428581839382015,0.7405955826232998,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.02,33.02,33.02,33.02
feature_selection_method,chi2,chi2,chi2,chi2
k,10,10,10,10
feature_selection_time,0.07,0.07,0.07,0.07
recall,0.7428581839382015,0.7428581839382015,0.7428581839382015,0.7428581839382015
precision,0.7859651826950353,0.7859651826950353,0.7859651826950353,0.7859651826950353
f1_score,0.7405955826232998,0.7405955826232998,0.7405955826232998,0.7405955826232998
