,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.85,0.029159519725557463,0.05638474295190713,583.0
2,0.346180316586373,0.12301296160430424,0.1815229159148322,4089.0
3,0.5555555555555556,0.9131333093783687,0.6908151823031703,11132.0
4,0.27253533517095774,0.7665786869020126,0.40211136589797947,6062.0
5,0.9986869460553671,0.9673043293943088,0.9827451613771568,18871.0
6,0.9896073903002309,0.6022162162162162,0.7487734390752067,37000.0
7,0.9112525117213663,0.7783180778032036,0.8395556926874421,3496.0
8,0.4549763033175355,0.25396825396825395,0.32597623089983024,378.0
9,0.7142857142857143,0.22727272727272727,0.3448275862068966,44.0
accuracy,0.7129062818831075,0.7129062818831075,0.7129062818831075,0.7129062818831075
macro avg,0.6093080072993101,0.4660964082264953,0.4572712317314422,82332.0
weighted avg,0.8331933896413587,0.7129062818831075,0.7315060065907383,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.54,33.54,33.54,33.54
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,100.0,100.0,100.0,100.0
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.7129062818831075,0.7129062818831075,0.7129062818831075,0.7129062818831075
precision,0.8331933896413587,0.8331933896413587,0.8331933896413587,0.8331933896413587
f1_score,0.7315060065907383,0.7315060065907383,0.7315060065907383,0.7315060065907383
