,precision,recall,f1-score,support
0,0.008576329331046312,0.014771048744460856,0.010851871947911014,677.0
1,0.03614457831325301,0.025728987993138937,0.03006012024048096,583.0
2,0.37010309278350517,0.08779652726828076,0.1419252816762206,4089.0
3,0.5317571421164515,0.921307941070787,0.6743153949833985,11132.0
4,0.27029007633587787,0.7301220719234576,0.3945268975353211,6062.0
5,0.9987974856518175,0.9683111652800593,0.9833180864230748,18871.0
6,0.9831033262561925,0.6007027027027027,0.7457388270030868,37000.0
7,0.9321750751754093,0.7980549199084668,0.8599167822468793,3496.0
8,0.5714285714285714,0.30687830687830686,0.3993115318416523,378.0
9,0.65,0.29545454545454547,0.40625,44.0
accuracy,0.7103434873439246,0.7103434873439246,0.7103434873439246,0.7103434873439246
macro avg,0.5352375677392125,0.47491282172242066,0.4646214793898025,82332.0
weighted avg,0.8237971073862136,0.7103434873439246,0.726654536653702,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,34.94,34.94,34.94,34.94
feature_selection_method,chi2,chi2,chi2,chi2
k,30,30,30,30
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.7103434873439246,0.7103434873439246,0.7103434873439246,0.7103434873439246
precision,0.8237971073862136,0.8237971073862136,0.8237971073862136,0.8237971073862136
f1_score,0.726654536653702,0.726654536653702,0.726654536653702,0.726654536653702
