,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.028871391076115485,0.07547169811320754,0.041765543426673,583.0
2,0.5081967213114754,0.007581315725116165,0.014939759036144579,4089.0
3,0.6079264591102246,0.6297161336687028,0.6186294841812646,11132.0
4,0.1423401065094876,0.45414054767403494,0.21674605361571467,6062.0
5,0.903973293185835,0.7318107148534789,0.8088321424387959,18871.0
6,0.8892694432776503,0.7438378378378379,0.8100781468454282,37000.0
7,0.4127632819867966,0.3755720823798627,0.3932903998801857,3496.0
8,0.0,0.0,0.0,378.0
9,0.0,0.0,0.0,44.0
accuracy,0.6374556672982559,0.6374556672982559,0.6374556672982559,0.6374556672982559
macro avg,0.3493340696457586,0.3018130330252241,0.29042815294242064,82332.0
weighted avg,0.742481918740275,0.6374556672982559,0.6667789196505045,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,30.46,30.46,30.46,30.46
feature_selection_method,anova,anova,anova,anova
k,10,10,10,10
feature_selection_time,0.12,0.12,0.12,0.12
recall,0.6374556672982559,0.6374556672982559,0.6374556672982559,0.6374556672982559
precision,0.742481918740275,0.742481918740275,0.742481918740275,0.742481918740275
f1_score,0.6667789196505045,0.6667789196505045,0.6667789196505045,0.6667789196505045
